                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0687,                 5.6796,                 4.4328,                      0,                      0,                      0,                      0,                 4.5121,                 5.9509,                 4.1589,                      0,                      0,                      0
                      2,                 4.8606,                 5.8806,                 4.4459,                      0,                      0,                      0,                      0,                 4.5126,                  5.952,                 4.1588,              1.901e-05,              1.901e-05,              1.901e-05
                      3,                 4.3302,                 7.1396,                 4.5522,                      0,                      0,                      0,                      0,                 4.5131,                  5.953,                 4.1588,              3.604e-05,              3.604e-05,              3.604e-05
                      4,                 5.0964,                 5.9502,                 4.4433,                      0,                      0,                      0,                      0,                 4.5136,                  5.954,                 4.1588,              5.109e-05,              5.109e-05,              5.109e-05
                      5,                 4.7779,                 5.8747,                 4.4392,                      0,                      0,                      0,                      0,                 4.5141,                  5.955,                 4.1587,              6.416e-05,              6.416e-05,              6.416e-05
                      6,                 4.9297,                 5.8852,                 4.3141,                      0,                      0,                      0,                      0,                 4.5146,                 5.9558,                 4.1586,              7.525e-05,              7.525e-05,              7.525e-05
                      7,                 4.4932,                 5.5797,                  4.686,                      0,                      0,                      0,                      0,                 4.5151,                 5.9566,                 4.1585,              8.436e-05,              8.436e-05,              8.436e-05
                      8,                 4.0193,                 5.3823,                  4.535,                      0,                      0,                      0,                      0,                 4.5157,                 5.9571,                 4.1584,              9.149e-05,              9.149e-05,              9.149e-05
                      9,                 4.3773,                 6.0348,                 4.6665,                      0,                      0,                      0,                      0,                 4.5163,                 5.9578,                 4.1584,              9.664e-05,              9.664e-05,              9.664e-05
                     10,                 4.8094,                 6.4236,                 4.2383,                      0,                      0,                      0,                      0,                  4.517,                 5.9585,                 4.1584,              9.981e-05,              9.981e-05,              9.981e-05
                     11,                 3.4226,                 6.1107,                 4.3744,                      0,                      0,                      0,                      0,                 4.5177,                 5.9594,                 4.1583,               0.000101,               0.000101,               0.000101
                     12,                  4.114,                 6.7217,                 4.4599,                      0,                      0,                      0,                      0,                 4.5184,                 5.9604,                 4.1583,             0.00010021,             0.00010021,             0.00010021
                     13,                 3.6203,                 5.6014,                 4.5166,                      0,                      0,                      0,                      0,                 4.5192,                 5.9617,                 4.1584,              9.744e-05,              9.744e-05,              9.744e-05
                     14,                 3.8068,                 6.0347,                 4.5001,                      0,                      0,                      0,                      0,                 4.5201,                 5.9631,                 4.1584,              9.269e-05,              9.269e-05,              9.269e-05
                     15,                 3.8585,                 6.3594,                 4.5938,                      0,                      0,                      0,                      0,                 4.5211,                 5.9648,                 4.1585,              8.596e-05,              8.596e-05,              8.596e-05
                     16,                 3.8269,                 5.5985,                 4.3991,                      0,                      0,                      0,                      0,                 4.5219,                 5.9661,                 4.1587,              7.725e-05,              7.725e-05,              7.725e-05
                     17,                 3.3839,                 5.7023,                 4.4834,                      0,                      0,                      0,                      0,                 4.5228,                 5.9676,                 4.1588,              6.656e-05,              6.656e-05,              6.656e-05
                     18,                 3.8322,                 5.5839,                 4.3558,                      0,                      0,                      0,                      0,                 4.5228,                 5.9676,                 4.1588,              5.389e-05,              5.389e-05,              5.389e-05
                     19,                 4.0838,                 6.4885,                  4.539,                      0,                      0,                      0,                      0,                 4.5248,                 5.9714,                 4.1592,              3.924e-05,              3.924e-05,              3.924e-05
                     20,                 3.9732,                 5.8401,                 4.5648,                      0,                      0,                      0,                      0,                 4.5248,                 5.9714,                 4.1592,              2.261e-05,              2.261e-05,              2.261e-05
